ID,생활건강-연령대,생활건강-성별,생활건강-일일 평균 걸음수(걸음),생활건강-일일 평균 수면량(시간),생활건강-걸음수 측정 기간,생활건강-수면량 측정 기간,
1279,40대,남성,7734,7.7,8개월,5개월,
1280,10대,남성,6619,6.0,8개월,9개월,
1282,40대,여성,5491,6.6,7개월,1개월,
1285,80대 이상,남성,8145,7.4,17개월,5개월,
1287,70대,여성,5839,7.9,2개월,18개월,
1287,70대,여성,8541,5.5,11개월,6개월,
1287,70대,여성,5426,7.7,16개월,3개월,
1288,30대,남성,7829,6.1,12개월,12개월,
1288,30대,남성,6554,7.5,11개월,13개월,
1291,60대,여성,7565,9.3,4개월,3개월,
1292,80대 이상,남성,9717,8.2,19개월,15개월,
1292,80대 이상,남성,8777,6.5,6개월,8개월,
1294,60대,여성,7394,6.9,3개월,16개월,
1294,60대,여성,8771,6.6,3개월,7개월,
1295,40대,남성,8099,7.0,3개월,10개월,
1296,30대,여성,5690,7.2,9개월,17개월,
1296,30대,여성,5747,5.9,2개월,11개월,
1297,40대,여성,6702,7.8,1개월,3개월,
1297,40대,여성,5962,8.6,9개월,4개월,
1297,40대,여성,6444,7.4,6개월,14개월,
1297,40대,여성,6226,7.1,5개월,17개월,
1298,60대,여성,5746,8.0,6개월,6개월,
1299,60대,여성,7953,7.3,5개월,8개월,
1301,10대,여성,4264,6.6,11개월,8개월,
1302,50대,남성,6568,6.9,14개월,2개월,
1303,70대,남성,8393,5.2,5개월,1개월,
1304,10대,남성,7299,7.1,9개월,2개월,
1304,10대,남성,5942,7.8,2개월,9개월,
1304,10대,남성,8598,7.3,2개월,2개월,
1305,40대,여성,6430,6.8,20개월,13개월,
1306,30대,여성,7125,7.3,15개월,9개월,
1306,30대,여성,4100,8.2,4개월,6개월,
1307,50대,여성,7824,7.4,18개월,3개월,
1308,60대,남성,9901,9.2,6개월,8개월,
1309,50대,남성,6846,7.0,10개월,2개월,
1310,30대,남성,6568,8.3,5개월,4개월,
1311,60대,남성,7528,8.4,10개월,2개월,
1312,70대,여성,7277,6.6,18개월,2개월,
1313,60대,여성,9481,6.5,11개월,19개월,
1313,60대,여성,5867,7.7,5개월,6개월,
1314,80대 이상,남성,7435,6.9,6개월,1개월,
1314,80대 이상,남성,7306,7.9,11개월,16개월,
1315,50대,남성,6740,7.2,20개월,23개월,
1315,50대,남성,9767,7.6,13개월,11개월,
1316,30대,여성,4163,7.2,12개월,4개월,
1318,70대,남성,10511,5.9,19개월,3개월,
1318,70대,남성,9002,9.1,9개월,19개월,
1319,40대,여성,6415,7.9,9개월,6개월,
1319,40대,여성,6147,6.6,15개월,7개월,
1320,50대,여성,6240,7.1,5개월,16개월,
1320,50대,여성,7544,6.4,4개월,13개월,
1322,40대,남성,6892,8.1,18개월,6개월,
1323,20대,여성,6081,6.9,13개월,5개월,
1324,20대,여성,4793,6.7,13개월,2개월,
1326,60대,남성,7302,8.2,14개월,6개월,
1326,60대,남성,10870,7.8,2개월,5개월,
1327,50대,남성,7691,6.5,9개월,11개월,
1327,50대,남성,8322,8.1,2개월,2개월,
1327,50대,남성,8102,6.7,1개월,13개월,
1328,70대,남성,7363,6.9,3개월,15개월,
1328,70대,남성,10273,9.2,14개월,4개월,
1328,70대,남성,8621,8.6,2개월,12개월,
1328,70대,남성,9715,6.6,7개월,6개월,
1329,40대,여성,3977,9.6,16개월,12개월,
1330,60대,여성,7291,7.3,10개월,7개월,
1331,60대,여성,7676,9.0,23개월,6개월,
1331,60대,여성,7224,8.0,18개월,10개월,
1331,60대,여성,7706,8.4,1개월,14개월,
1332,60대,여성,5297,8.4,5개월,5개월,
1332,60대,여성,6334,6.7,2개월,8개월,
1334,60대,남성,7977,8.7,21개월,11개월,
1334,60대,남성,9428,7.7,10개월,8개월,
1335,30대,여성,5747,9.4,1개월,1개월,
1335,30대,여성,6248,6.8,22개월,2개월,
1337,20대,여성,5336,6.7,4개월,14개월,
1339,10대,남성,8000,5.8,10개월,8개월,
1339,10대,남성,7598,6.3,6개월,11개월,
1341,40대,여성,6034,7.3,7개월,16개월,
1341,40대,여성,5457,7.0,5개월,7개월,
1341,40대,여성,7389,6.0,2개월,1개월,
1342,20대,남성,8387,7.4,19개월,9개월,
1345,20대,여성,5604,8.0,7개월,15개월,
1346,30대,여성,5203,6.5,14개월,11개월,
1348,70대,남성,8087,6.5,7개월,18개월,
1348,70대,남성,8511,5.9,12개월,12개월,
1348,70대,남성,8569,6.9,22개월,5개월,
1348,70대,남성,7576,6.1,8개월,15개월,
1348,70대,남성,7344,7.7,9개월,12개월,
1348,70대,남성,11672,7.3,14개월,6개월,
1349,20대,남성,6954,8.1,3개월,33개월,
1352,40대,남성,6989,7.1,28개월,1개월,
1352,40대,남성,7763,7.7,11개월,9개월,
1352,40대,남성,6937,6.2,1개월,13개월,
1354,10대,남성,7476,7.3,6개월,2개월,
1355,40대,여성,7798,7.9,2개월,3개월,
1356,50대,여성,7298,8.5,1개월,1개월,
1357,30대,남성,8624,6.8,1개월,17개월,
1359,50대,여성,8378,5.9,4개월,5개월,
1360,10대,여성,5353,7.8,7개월,20개월,
1360,10대,여성,6253,7.3,1개월,5개월,
1360,10대,여성,4710,6.9,10개월,18개월,
1360,10대,여성,3828,8.2,4개월,2개월,
1361,60대,남성,9191,8.1,19개월,9개월,
1361,60대,남성,9797,7.9,6개월,15개월,
1362,30대,남성,7657,8.5,2개월,8개월,
1363,70대,여성,6036,5.8,5개월,9개월,
1364,10대,남성,8234,8.6,2개월,7개월,
1369,20대,여성,5709,5.7,17개월,11개월,
1370,30대,여성,5468,8.0,8개월,5개월,
1370,30대,여성,6494,7.8,5개월,8개월,
1371,70대,여성,7702,6.4,4개월,4개월,
1373,40대,여성,7389,7.8,11개월,6개월,
1374,30대,여성,4895,6.6,5개월,25개월,
1375,80대 이상,남성,8503,7.8,17개월,13개월,
1377,40대,여성,7380,9.0,18개월,6개월,
1377,40대,여성,6956,8.7,17개월,5개월,
1377,40대,여성,7234,8.3,9개월,7개월,
1379,50대,남성,9597,8.9,11개월,7개월,
1379,50대,남성,6691,7.1,1개월,13개월,
1379,50대,남성,9430,7.1,1개월,4개월,
1379,50대,남성,9151,6.2,6개월,5개월,
1380,20대,여성,5288,5.8,26개월,5개월,
1381,20대,여성,5211,6.7,3개월,4개월,
1382,70대,여성,8590,5.7,4개월,13개월,
1383,30대,여성,5787,7.1,3개월,1개월,
1383,30대,여성,4362,7.2,6개월,11개월,
1384,10대,여성,7065,7.3,2개월,3개월,
1385,60대,여성,7823,7.7,6개월,2개월,
1387,30대,여성,5074,7.7,11개월,13개월,
1388,70대,여성,7367,8.0,8개월,2개월,
1389,10대,여성,6526,7.9,3개월,6개월,
1394,70대,남성,9144,8.0,5개월,4개월,
1396,50대,여성,7224,7.0,1개월,3개월,
1397,60대,여성,8647,7.2,2개월,11개월,
1398,60대,여성,6999,7.9,6개월,10개월,
1398,60대,여성,7277,8.8,1개월,2개월,
1399,70대,남성,10230,7.5,10개월,4개월,
1399,70대,남성,7353,8.9,13개월,13개월,
1401,10대,여성,7272,5.7,8개월,1개월,
1402,50대,남성,8719,8.0,15개월,4개월,
1402,50대,남성,8526,6.8,12개월,8개월,
1403,40대,남성,8325,8.8,1개월,4개월,
1403,40대,남성,5846,7.7,5개월,6개월,
1403,40대,남성,7839,8.8,3개월,13개월,
1403,40대,남성,7069,7.1,10개월,1개월,
1406,30대,여성,3619,8.7,3개월,1개월,
1408,30대,남성,6692,6.9,5개월,7개월,
1411,60대,여성,6916,8.3,2개월,11개월,
1411,60대,여성,6906,7.3,1개월,14개월,
1411,60대,여성,6713,8.7,1개월,9개월,
1417,80대 이상,남성,8835,7.3,13개월,4개월,
1419,50대,여성,4569,7.6,1개월,2개월,
1419,50대,여성,6536,8.7,5개월,16개월,
1421,30대,남성,6571,8.2,11개월,20개월,
1421,30대,남성,6788,7.4,5개월,5개월,
1421,30대,남성,5967,6.7,2개월,5개월,
1422,70대,남성,9192,8.3,10개월,3개월,
1422,70대,남성,9509,7.5,5개월,9개월,
1423,50대,여성,6707,7.0,21개월,5개월,
1425,60대,여성,9077,6.2,11개월,16개월,
1427,70대,여성,7073,7.6,3개월,10개월,
1429,80대 이상,여성,7340,8.4,16개월,2개월,
1430,30대,여성,5141,5.7,3개월,3개월,
1430,30대,여성,5168,6.0,6개월,2개월,
1430,30대,여성,6815,8.4,10개월,8개월,
1431,80대 이상,남성,7831,6.7,3개월,10개월,
1431,80대 이상,남성,8766,7.4,8개월,5개월,
1431,80대 이상,남성,9461,7.3,1개월,5개월,
1436,70대,여성,7923,6.4,3개월,2개월,
1436,70대,여성,9548,7.6,9개월,3개월,
1439,40대,여성,6155,8.6,10개월,11개월,
1445,70대,여성,8842,10.0,2개월,11개월,
1445,70대,여성,10153,6.9,18개월,6개월,
1446,50대,여성,7959,8.0,3개월,15개월,
1449,70대,남성,7951,8.8,6개월,7개월,
1450,50대,남성,7881,7.2,7개월,12개월,
1451,40대,여성,6434,6.6,1개월,2개월,
1453,60대,여성,8799,6.3,1개월,8개월,
1453,60대,여성,7016,7.2,2개월,4개월,
1453,60대,여성,7939,7.9,14개월,14개월,
1454,30대,남성,6202,6.9,2개월,2개월,
1455,30대,남성,8414,6.6,16개월,12개월,
1457,70대,남성,8878,8.0,5개월,18개월,
1457,70대,남성,8842,8.6,4개월,1개월,
1458,30대,남성,7252,7.4,12개월,7개월,
1459,50대,여성,9185,7.4,1개월,1개월,
1460,40대,여성,6331,8.1,6개월,1개월,
1460,40대,여성,5423,9.2,4개월,2개월,
1461,30대,여성,4620,7.1,7개월,5개월,
1462,60대,여성,8203,7.8,1개월,22개월,
1463,70대,여성,6600,6.8,3개월,9개월,
1463,70대,여성,7443,7.4,7개월,5개월,
1464,70대,여성,8531,6.7,6개월,10개월,
1465,50대,여성,6420,7.6,12개월,5개월,
1465,50대,여성,4734,6.1,3개월,3개월,
1466,40대,여성,4835,6.6,10개월,8개월,
1468,40대,남성,7288,8.4,16개월,4개월,
1468,40대,남성,10661,7.7,3개월,11개월,
1469,80대 이상,여성,8334,8.0,9개월,14개월,
1470,30대,남성,7834,6.6,7개월,28개월,
1471,10대,남성,7599,8.0,2개월,15개월,
1472,50대,여성,6246,8.0,7개월,5개월,
1473,30대,남성,7465,6.4,2개월,21개월,
1473,30대,남성,7574,7.7,11개월,4개월,
1473,30대,남성,7766,7.7,6개월,3개월,
1474,60대,남성,8481,8.1,24개월,4개월,
1474,60대,남성,8050,6.8,9개월,8개월,
1476,20대,여성,6634,8.3,12개월,4개월,
1478,20대,남성,6805,8.1,18개월,12개월,
1481,60대,남성,8674,7.4,3개월,4개월,
1483,50대,여성,6905,5.5,9개월,11개월,
1485,50대,남성,6181,6.2,6개월,12개월,
1485,50대,남성,6499,6.8,17개월,8개월,
1486,60대,여성,7156,7.7,11개월,6개월,
1487,30대,남성,7684,9.3,3개월,2개월,
1488,20대,남성,8124,7.5,8개월,8개월,
1490,80대 이상,여성,8555,7.3,4개월,11개월,
1491,60대,여성,6589,5.7,3개월,6개월,
1492,50대,여성,7745,6.8,6개월,8개월,
1493,60대,남성,9559,8.6,5개월,15개월,
1493,60대,남성,9915,8.0,18개월,6개월,
1494,40대,남성,10218,8.9,5개월,1개월,
1495,50대,여성,6051,6.5,1개월,20개월,
1495,50대,여성,6482,6.9,8개월,6개월,
1496,70대,남성,9372,6.8,8개월,10개월,
1496,70대,남성,9058,7.3,20개월,2개월,
1499,60대,여성,7949,7.2,13개월,8개월,
1499,60대,여성,5004,7.5,10개월,6개월,
1501,50대,여성,7171,7.8,4개월,3개월,
1503,80대 이상,남성,8015,6.7,11개월,8개월,
1505,50대,여성,6547,8.2,16개월,7개월,
1505,50대,여성,6259,6.7,8개월,1개월,
1506,60대,여성,8653,7.7,7개월,5개월,
1507,60대,남성,9980,6.5,6개월,3개월,
1508,10대,남성,7309,7.0,7개월,3개월,
1508,10대,남성,9162,7.9,12개월,4개월,
1509,60대,여성,9270,7.1,3개월,2개월,
1513,60대,남성,8884,7.5,1개월,10개월,
1513,60대,남성,8000,7.4,2개월,2개월,
1513,60대,남성,8381,7.5,13개월,9개월,
1514,60대,여성,7257,7.6,4개월,11개월,
1515,20대,남성,7494,9.0,8개월,9개월,
1515,20대,남성,6743,7.0,10개월,1개월,
1515,20대,남성,9375,5.8,7개월,15개월,
1516,70대,여성,9258,8.7,1개월,1개월,
1517,30대,여성,4422,6.5,11개월,6개월,
1517,30대,여성,5784,6.7,3개월,17개월,
1517,30대,여성,6139,9.2,13개월,3개월,
1517,30대,여성,5905,7.4,19개월,12개월,
1518,80대 이상,여성,6091,6.9,8개월,5개월,
1520,20대,여성,5730,6.8,9개월,12개월,
1522,70대,여성,7123,7.2,7개월,13개월,
1522,70대,여성,9076,8.0,10개월,13개월,
1523,60대,여성,6790,8.3,4개월,4개월,
1523,60대,여성,6918,5.9,1개월,20개월,
1524,50대,여성,5531,7.5,9개월,5개월,
1524,50대,여성,7271,5.4,10개월,6개월,
1526,70대,여성,7477,8.5,5개월,2개월,
1526,70대,여성,9021,6.9,1개월,14개월,
1530,60대,남성,9542,8.6,15개월,3개월,
1531,10대,남성,5282,8.7,7개월,23개월,
1532,60대,남성,8883,7.0,7개월,5개월,
1533,60대,여성,6142,5.8,21개월,5개월,
1533,60대,여성,6147,7.4,28개월,1개월,
1534,10대,남성,7107,7.0,2개월,24개월,
1536,60대,여성,4884,7.7,5개월,8개월,
1537,50대,남성,6823,7.4,12개월,3개월,
1538,30대,남성,6763,7.6,4개월,1개월,
1538,30대,남성,6746,6.2,8개월,10개월,
1538,30대,남성,6643,8.3,13개월,13개월,
1539,20대,남성,6076,6.3,6개월,7개월,
1540,70대,남성,7345,7.0,7개월,11개월,
1540,70대,남성,8146,7.7,11개월,4개월,
1542,70대,남성,7718,6.9,8개월,9개월,
1542,70대,남성,9979,6.3,6개월,11개월,
1544,20대,남성,7354,6.8,14개월,15개월,
1544,20대,남성,6631,7.2,3개월,7개월,
1546,30대,남성,6103,8.0,2개월,11개월,
1547,20대,남성,7373,5.2,11개월,5개월,
1547,20대,남성,6640,5.3,11개월,5개월,
1547,20대,남성,7140,6.9,2개월,9개월,
1549,60대,남성,6598,8.0,6개월,4개월,
1549,60대,남성,9270,6.8,7개월,6개월,
1549,60대,남성,7913,6.3,3개월,2개월,
1549,60대,남성,8785,7.5,2개월,9개월,
1550,30대,남성,7682,8.7,6개월,8개월,
1552,30대,여성,5901,7.0,19개월,9개월,
1552,30대,여성,5542,7.3,1개월,7개월,
1553,10대,남성,8416,8.3,31개월,5개월,
1554,60대,남성,8449,6.8,3개월,18개월,
1554,60대,남성,7345,7.9,22개월,2개월,
1554,60대,남성,9832,8.0,10개월,15개월,
1555,10대,여성,5980,8.5,13개월,10개월,
1556,60대,여성,8171,5.1,20개월,2개월,
1556,60대,여성,8106,7.0,11개월,3개월,
1557,70대,남성,8871,6.6,3개월,7개월,
1558,30대,남성,7836,6.3,16개월,23개월,
1559,50대,여성,8500,6.9,3개월,4개월,
1559,50대,여성,7197,8.5,13개월,1개월,
1561,50대,남성,8917,5.9,4개월,11개월,
1561,50대,남성,9338,8.8,4개월,2개월,
1562,60대,남성,7555,8.4,5개월,14개월,
1563,60대,여성,5836,8.5,17개월,6개월,
1564,10대,남성,6625,7.7,3개월,6개월,
1565,30대,남성,6923,9.2,24개월,2개월,
1565,30대,남성,7739,8.4,6개월,21개월,
1565,30대,남성,5943,6.6,1개월,14개월,
1567,20대,여성,6906,6.5,1개월,15개월,
1568,30대,여성,5022,7.1,8개월,18개월,
1569,60대,남성,8463,7.6,12개월,14개월,
1570,30대,남성,7073,6.4,5개월,1개월,
1570,30대,남성,8349,5.4,7개월,1개월,
1570,30대,남성,8443,7.7,17개월,3개월,
1572,60대,여성,5794,7.3,13개월,6개월,
1572,60대,여성,8652,7.9,15개월,6개월,
1572,60대,여성,6421,8.7,4개월,2개월,
1573,50대,남성,8567,7.1,10개월,4개월,
1575,60대,여성,7797,5.9,6개월,1개월,
1577,40대,여성,5040,5.9,1개월,8개월,
1577,40대,여성,7721,8.0,3개월,1개월,
1578,50대,여성,5084,8.5,24개월,11개월,
1579,10대,남성,7336,5.9,2개월,5개월,
1579,10대,남성,9447,7.5,3개월,9개월,
1579,10대,남성,7568,6.8,6개월,17개월,
1579,10대,남성,7517,6.8,9개월,10개월,
1579,10대,남성,6949,8.2,14개월,19개월,
1580,50대,여성,6819,7.7,1개월,14개월,
1582,30대,여성,5316,8.2,19개월,7개월,
1582,30대,여성,6041,8.0,8개월,11개월,
1583,60대,여성,8535,6.6,5개월,1개월,
1583,60대,여성,7347,6.6,18개월,2개월,
1583,60대,여성,8236,7.6,8개월,10개월,
1584,20대,여성,5220,7.4,9개월,4개월,
1585,40대,여성,4665,6.4,3개월,16개월,
1587,50대,여성,7099,8.7,13개월,1개월,
1587,50대,여성,7179,7.4,8개월,19개월,
1589,20대,여성,6100,7.1,9개월,13개월,
1590,60대,여성,8001,8.6,3개월,8개월,
1590,60대,여성,7159,6.9,1개월,13개월,
1591,40대,남성,8083,8.1,1개월,1개월,
1591,40대,남성,7155,6.6,6개월,4개월,
1591,40대,남성,8280,6.9,9개월,2개월,
1591,40대,남성,7615,5.5,8개월,8개월,
1592,80대 이상,여성,7983,6.8,2개월,13개월,
1594,30대,여성,6144,8.3,25개월,5개월,
1594,30대,여성,6949,6.2,3개월,12개월,
1594,30대,여성,3790,6.3,10개월,12개월,
1595,10대,남성,6987,7.6,7개월,5개월,
1595,10대,남성,8661,6.3,1개월,1개월,
1596,50대,남성,8036,9.4,5개월,16개월,
1596,50대,남성,8047,7.4,5개월,9개월,
1600,20대,여성,7204,6.4,10개월,12개월,
1601,70대,남성,9119,6.4,14개월,9개월,
1603,50대,남성,9672,6.9,1개월,5개월,
1603,50대,남성,8135,7.0,8개월,1개월,
1603,50대,남성,9487,8.0,1개월,2개월,
1604,50대,여성,7075,8.4,10개월,17개월,
1606,40대,남성,6642,6.9,2개월,4개월,
1606,40대,남성,6236,7.8,6개월,2개월,
1609,60대,여성,7541,6.2,1개월,10개월,
1610,20대,남성,8024,7.1,20개월,4개월,
1611,20대,여성,6202,8.1,4개월,5개월,
1612,70대,여성,9060,6.6,2개월,7개월,
1612,70대,여성,8152,9.0,16개월,13개월,
1612,70대,여성,8663,9.4,14개월,1개월,
1613,80대 이상,여성,8050,8.3,20개월,12개월,
1613,80대 이상,여성,9327,7.7,7개월,15개월,
1614,70대,남성,7192,8.4,3개월,7개월,
1616,70대,남성,8236,8.1,10개월,8개월,
1618,60대,남성,10193,5.3,5개월,9개월,
1624,40대,남성,7947,9.6,2개월,3개월,
1625,40대,여성,5914,6.0,22개월,9개월,
1625,40대,여성,5868,6.3,2개월,8개월,
1625,40대,여성,6187,9.4,2개월,10개월,
1625,40대,여성,4932,7.2,13개월,2개월,
1627,60대,여성,7072,8.6,10개월,2개월,
1629,20대,남성,8285,6.0,1개월,19개월,
1630,50대,남성,7937,6.3,10개월,15개월,
1631,30대,남성,6032,5.8,16개월,2개월,
1631,30대,남성,6360,6.8,6개월,1개월,
1631,30대,남성,6539,8.5,6개월,24개월,
1634,60대,여성,6865,5.9,16개월,12개월,
1635,70대,남성,10148,5.8,13개월,8개월,
1636,50대,여성,5315,5.7,1개월,4개월,
1637,40대,남성,7591,6.1,7개월,1개월,
1637,40대,남성,7786,9.1,16개월,4개월,
1637,40대,남성,8030,8.6,10개월,2개월,
1638,60대,남성,9304,8.2,18개월,21개월,
1640,40대,남성,8172,6.1,12개월,4개월,
1641,40대,남성,7093,7.3,9개월,1개월,
1642,30대,남성,7704,6.1,4개월,14개월,
1644,80대 이상,남성,9892,6.9,6개월,7개월,
1646,60대,남성,8654,7.0,6개월,5개월,
1647,30대,남성,5947,6.7,15개월,7개월,
1647,30대,남성,7039,7.9,10개월,1개월,
1647,30대,남성,7118,6.5,9개월,1개월,
1648,60대,여성,6293,7.1,9개월,4개월,
1649,60대,여성,7821,7.1,15개월,11개월,
1650,10대,여성,5678,6.6,8개월,10개월,
1652,20대,여성,3353,7.4,1개월,9개월,
1653,20대,남성,7351,7.5,10개월,2개월,
1654,70대,여성,7245,7.9,2개월,8개월,
1654,70대,여성,7922,6.7,9개월,11개월,
1654,70대,여성,9425,6.4,14개월,1개월,
1656,60대,여성,7188,7.5,12개월,7개월,
1657,40대,여성,6130,6.4,11개월,19개월,
1658,70대,여성,6079,5.9,7개월,4개월,
1659,50대,남성,9156,9.2,22개월,4개월,
1659,50대,남성,8855,8.3,3개월,10개월,
1666,40대,여성,6174,8.0,12개월,4개월,
1667,10대,여성,5176,7.2,17개월,6개월,
1667,10대,여성,5627,7.5,9개월,4개월,
1670,60대,여성,6035,9.3,22개월,2개월,
1671,10대,남성,7547,7.1,1개월,14개월,
1671,10대,남성,5459,6.3,14개월,7개월,
1672,10대,여성,2982,8.2,9개월,1개월,
1673,20대,남성,6521,8.4,7개월,6개월,
1676,30대,여성,4304,7.8,10개월,16개월,
1677,70대,여성,10131,7.3,9개월,8개월,
1677,70대,여성,8789,6.4,8개월,14개월,
1678,60대,여성,7989,7.3,14개월,12개월,
1679,30대,남성,7937,7.9,6개월,11개월,
1679,30대,남성,6913,6.4,18개월,12개월,
1681,60대,남성,8874,8.0,2개월,2개월,
1683,40대,여성,8132,7.5,7개월,2개월,
1684,40대,남성,7463,7.1,1개월,18개월,
1684,40대,남성,8156,10.3,11개월,6개월,
1688,70대,남성,8745,7.3,17개월,1개월,
1690,20대,남성,7444,7.2,7개월,15개월,
1691,60대,남성,8938,7.4,12개월,19개월,
1692,60대,남성,6783,8.1,14개월,1개월,
1692,60대,남성,7539,7.2,8개월,8개월,
1694,30대,여성,6514,7.8,2개월,9개월,
1694,30대,여성,6684,7.1,3개월,2개월,
1695,70대,남성,9491,8.9,3개월,1개월,
1695,70대,남성,8274,8.2,3개월,1개월,
1695,70대,남성,7557,7.9,9개월,5개월,
1697,60대,남성,8088,8.1,10개월,9개월,
1698,80대 이상,남성,8311,5.5,11개월,5개월,
1700,20대,남성,7911,7.8,2개월,9개월,
1703,30대,여성,5877,8.0,12개월,4개월,
1705,70대,여성,10039,7.4,1개월,3개월,
1706,30대,남성,6610,7.7,11개월,9개월,
1708,20대,남성,7109,7.0,16개월,24개월,
1709,10대,여성,5205,6.9,14개월,1개월,
1711,30대,남성,5713,7.3,22개월,1개월,
1711,30대,남성,8063,8.3,22개월,4개월,
1712,60대,여성,6253,7.2,3개월,3개월,
1712,60대,여성,8343,5.5,1개월,8개월,
1714,60대,여성,9303,7.6,15개월,7개월,
1717,30대,여성,6678,5.9,8개월,14개월,
1720,40대,남성,7275,7.1,12개월,4개월,
1722,40대,여성,6563,6.6,4개월,21개월,
1723,60대,남성,8538,7.3,11개월,8개월,
1724,40대,남성,7464,8.2,24개월,15개월,
1724,40대,남성,7780,8.3,13개월,5개월,
1727,50대,남성,7989,5.7,1개월,26개월,
1729,40대,남성,7526,6.4,7개월,22개월,
1730,30대,남성,6532,8.0,4개월,17개월,
1730,30대,남성,6932,8.3,13개월,2개월,
1731,50대,여성,6580,8.9,2개월,20개월,
1732,70대,남성,10544,6.0,12개월,9개월,
1732,70대,남성,9581,6.1,1개월,6개월,
1732,70대,남성,7646,6.3,18개월,8개월,
1733,50대,여성,3575,7.0,12개월,1개월,
1734,60대,여성,7614,8.5,8개월,1개월,
1735,70대,여성,9481,7.9,3개월,9개월,
1736,70대,여성,8843,7.7,8개월,12개월,
1736,70대,여성,8325,8.1,8개월,4개월,
1738,60대,여성,7782,6.7,8개월,19개월,
1739,30대,남성,7120,7.8,16개월,4개월,
1741,70대,남성,8249,7.8,5개월,12개월,
1743,60대,남성,9603,8.4,10개월,1개월,
1746,10대,여성,4444,8.1,2개월,6개월,
1747,70대,여성,7355,6.0,4개월,6개월,
1749,60대,여성,6312,7.2,12개월,7개월,
1750,50대,남성,7765,9.2,1개월,5개월,
1750,50대,남성,7036,7.1,8개월,20개월,
1751,20대,여성,5590,7.0,3개월,2개월,
1752,70대,여성,8409,7.0,12개월,5개월,
1756,50대,여성,7450,7.5,15개월,7개월,
1758,30대,여성,4929,8.2,17개월,5개월,
1761,30대,남성,6484,7.6,8개월,4개월,
1762,50대,남성,7717,6.1,6개월,1개월,
1763,70대,남성,5512,6.8,3개월,16개월,
1763,70대,남성,6992,7.6,7개월,10개월,
1764,30대,여성,5797,7.6,6개월,3개월,
1765,10대,여성,6712,6.1,8개월,17개월,
1769,20대,여성,5553,6.3,11개월,1개월,
1770,10대,남성,7651,8.0,2개월,18개월,
1770,10대,남성,8144,8.2,3개월,10개월,
1771,10대,여성,6765,7.3,10개월,5개월,
1772,60대,여성,7673,7.1,1개월,7개월,
1776,30대,남성,6857,7.7,13개월,2개월,
1777,70대,남성,6788,7.3,3개월,5개월,
1778,70대,여성,7857,8.2,14개월,13개월,
1779,10대,남성,9038,7.6,8개월,1개월,
1779,10대,남성,6387,8.4,3개월,10개월,
1779,10대,남성,8207,5.6,4개월,10개월,
1780,70대,여성,6835,8.5,18개월,11개월,
1780,70대,여성,7406,8.4,3개월,2개월,
1781,10대,여성,6859,5.7,15개월,8개월,
1781,10대,여성,7767,7.7,2개월,13개월,
1785,50대,여성,6811,7.5,6개월,1개월,
1786,20대,여성,3957,6.5,6개월,12개월,
1786,20대,여성,6087,6.6,1개월,15개월,
1786,20대,여성,6692,6.3,15개월,9개월,
1786,20대,여성,4434,6.1,14개월,2개월,
1788,30대,여성,4368,8.3,8개월,24개월,
1789,20대,여성,4378,8.7,4개월,10개월,
1790,40대,남성,5568,7.8,12개월,4개월,
1791,30대,남성,5060,7.4,7개월,2개월,
1793,40대,남성,7318,6.7,16개월,10개월,
1793,40대,남성,6732,6.9,6개월,13개월,
1794,80대 이상,여성,7487,7.5,4개월,18개월,
1801,30대,남성,8809,6.5,6개월,3개월,
1802,70대,남성,8599,6.6,8개월,17개월,
1803,50대,여성,6925,8.0,16개월,2개월,
1804,40대,남성,6812,8.5,2개월,10개월,
1804,40대,남성,8031,7.5,3개월,2개월,
1805,30대,여성,6331,6.6,20개월,2개월,
1805,30대,여성,4982,9.1,12개월,7개월,
1807,20대,여성,6499,7.4,10개월,6개월,
1808,10대,남성,6787,6.9,9개월,19개월,
1808,10대,남성,6901,6.4,5개월,11개월,
1809,60대,여성,5969,8.7,8개월,5개월,
1810,60대,남성,9022,4.3,7개월,12개월,
1810,60대,남성,5970,7.8,1개월,8개월,
1810,60대,남성,8518,6.5,3개월,3개월,
1810,60대,남성,7826,6.3,5개월,20개월,
1814,20대,여성,5525,7.0,21개월,1개월,
1814,20대,여성,6022,7.0,4개월,1개월,
1816,80대 이상,여성,6609,9.6,22개월,16개월,
1819,70대,남성,7110,6.6,7개월,13개월,
1819,70대,남성,8366,9.2,2개월,6개월,
1822,60대,여성,7312,6.8,7개월,1개월,
1823,20대,남성,8659,8.6,1개월,2개월,
1825,10대,남성,6913,7.1,2개월,15개월,
1825,10대,남성,7443,7.8,21개월,14개월,
1826,80대 이상,남성,7423,6.2,6개월,6개월,
1827,60대,남성,9941,6.1,4개월,6개월,
1827,60대,남성,7831,7.2,5개월,15개월,
1828,10대,남성,7541,6.9,7개월,10개월,
1830,60대,여성,7439,7.1,13개월,20개월,
1832,20대,여성,4345,8.7,11개월,21개월,
1833,50대,여성,6374,7.7,11개월,5개월,
1834,60대,여성,9061,7.9,5개월,11개월,
1835,60대,여성,8481,4.8,10개월,2개월,
1836,60대,여성,6814,8.3,12개월,2개월,
1836,60대,여성,8691,7.3,21개월,1개월,
1837,40대,남성,6602,8.6,26개월,9개월,
1837,40대,남성,8283,8.4,2개월,12개월,
1838,50대,여성,6051,7.0,3개월,1개월,
