ID,환경-연령대,환경-성별,환경-날짜,환경-위치,환경-초미세먼지(PM2.5),환경-미세먼지(PM10),환경-오존(O₃),환경-이산화질소(NO₂),환경-일산화탄소(CO),환경-아황산가스(SO₂),환경-온도,환경-습도
1196,40대,여성,2021-12-15,부산시 남구,22㎍/㎥,39㎍/㎥,0.012ppm,0.0247ppm,0.61ppm,0.0024ppm,-1.4°C,62%
1196,40대,여성,2022-03-30,부산시 중구,22㎍/㎥,43.8㎍/㎥,0.0279ppm,0.0087ppm,0.54ppm,0.0032ppm,7°C,67%
1198,30대,여성,2018-11-12,광주시 북구,28.1㎍/㎥,51.4㎍/㎥,0.0107ppm,0.0482ppm,0.75ppm,0.0054ppm,7.2°C,55%
1198,30대,여성,2019-06-19,대구시 수성구,20.6㎍/㎥,30.7㎍/㎥,0.0352ppm,0.0253ppm,0.27ppm,0.0045ppm,22.7°C,59%
1199,40대,여성,2020-09-22,부산시 부산진구,11.7㎍/㎥,19.9㎍/㎥,0.0265ppm,0.0204ppm,0.4ppm,0.0029ppm,20.6°C,72%
1199,40대,여성,2020-11-21,울산시 남구,24.7㎍/㎥,42.9㎍/㎥,0.0164ppm,0.0339ppm,0.63ppm,0.003ppm,8.3°C,69%
1199,40대,여성,2022-09-24,대구시 동구,11㎍/㎥,20.4㎍/㎥,0.0338ppm,0.0273ppm,0.45ppm,0.0034ppm,23.7°C,69%
1200,50대,남성,2019-06-18,서울시 은평구,21.3㎍/㎥,27.9㎍/㎥,0.0384ppm,0.0095ppm,0.28ppm,0.0045ppm,21.4°C,63%
1201,40대,여성,2023-02-15,서울시 성북구,25.1㎍/㎥,39㎍/㎥,0.0313ppm,0.0219ppm,0.5ppm,0.0024ppm,2.8°C,61%
1202,70대,남성,2020-01-28,대구시 달성군,28.8㎍/㎥,42.2㎍/㎥,0.0117ppm,0.046ppm,0.76ppm,0.0058ppm,2.1°C,53%
1202,70대,남성,2020-02-03,인천시 동구,28.7㎍/㎥,40.1㎍/㎥,0.0203ppm,0.0306ppm,0.49ppm,0.0041ppm,3.1°C,55%
1203,20대,여성,2020-08-19,광주시 북구,15.6㎍/㎥,20.9㎍/㎥,0.0208ppm,0.0072ppm,0.46ppm,0.0031ppm,29.2°C,84%
1203,20대,여성,2022-11-05,세종특별자치시,22.6㎍/㎥,38.8㎍/㎥,0.0192ppm,0.0402ppm,0.36ppm,0.0051ppm,11.2°C,66%
1204,10대,여성,2019-09-17,서울시 도봉구,10.9㎍/㎥,22.2㎍/㎥,0.0227ppm,0.0106ppm,0.49ppm,0.0046ppm,22.3°C,63%
1204,10대,여성,2023-01-17,부산시 금정구,27.7㎍/㎥,43.2㎍/㎥,0.016ppm,0.0366ppm,0.57ppm,0.0036ppm,0.7°C,63%
1205,50대,여성,2021-11-08,서울시 중랑구,26.6㎍/㎥,46.1㎍/㎥,0.0223ppm,0.0176ppm,0.68ppm,0.0042ppm,10.6°C,65%
1206,60대,남성,2021-11-19,부산시 강서구,27.4㎍/㎥,44.9㎍/㎥,0.0256ppm,0.0275ppm,0.54ppm,0.0011ppm,9.9°C,68%
1211,70대,남성,2019-01-13,서울시 은평구,37.9㎍/㎥,65.6㎍/㎥,0.0103ppm,0.0389ppm,0.71ppm,0.0046ppm,-0.6°C,48%
1211,70대,남성,2021-04-17,서울시 동작구,19.2㎍/㎥,39.5㎍/㎥,0.0423ppm,0.0125ppm,0.47ppm,0.0038ppm,14.3°C,53%
1211,70대,남성,2023-02-15,대구시 중구,27㎍/㎥,40.7㎍/㎥,0.0239ppm,0.0311ppm,0.68ppm,0.0046ppm,1.3°C,59%
1213,20대,남성,2022-04-22,울산시 동구,22.6㎍/㎥,44.9㎍/㎥,0.039ppm,0.0169ppm,0.17ppm,0.0044ppm,16°C,53%
1215,60대,여성,2022-08-13,서울시 은평구,12.9㎍/㎥,19.4㎍/㎥,0.0305ppm,0.0146ppm,0.46ppm,0.0035ppm,24.2°C,79%
1217,10대,여성,2020-12-10,서울시 영등포구,27.8㎍/㎥,41.9㎍/㎥,0.0125ppm,0.0143ppm,0.54ppm,0.0028ppm,0.9°C,59%
1217,10대,여성,2022-01-14,대구시 달서구,28.4㎍/㎥,43.4㎍/㎥,0.0187ppm,0.0301ppm,0.63ppm,0.0055ppm,-3.2°C,52%
1218,20대,남성,2020-12-07,울산시 동구,26.7㎍/㎥,40.9㎍/㎥,0.0096ppm,0.0168ppm,0.56ppm,0.0048ppm,0.8°C,60%
1220,70대,남성,2021-02-27,울산시 남구,28.9㎍/㎥,47.8㎍/㎥,0.0237ppm,0.0336ppm,0.51ppm,0.0032ppm,3°C,54%
1222,50대,여성,2019-11-30,서울시 강남구,21.7㎍/㎥,41.5㎍/㎥,0.0147ppm,0.0144ppm,0.63ppm,0.0038ppm,7.2°C,56%
1222,50대,여성,2020-09-07,부산시 해운대구,10.9㎍/㎥,19.1㎍/㎥,0.0267ppm,0.0241ppm,0.19ppm,0.0025ppm,22°C,70%
1222,50대,여성,2021-02-24,인천시 서구,28.9㎍/㎥,47.9㎍/㎥,0.0244ppm,0.024ppm,0.61ppm,0.0025ppm,3.8°C,59%
1222,50대,여성,2022-06-27,서울시 은평구,11㎍/㎥,21.5㎍/㎥,0.0361ppm,0.0123ppm,0.38ppm,0.0018ppm,23.2°C,76%
1224,60대,남성,2022-04-18,울산시 동구,20.6㎍/㎥,45.6㎍/㎥,0.0462ppm,0.0037ppm,0.38ppm,0.0035ppm,15.1°C,55%
1226,70대,여성,2018-11-28,대구시 달서구,26.4㎍/㎥,52.6㎍/㎥,0.0097ppm,0.0346ppm,0.73ppm,0.0061ppm,7.1°C,58%
1228,50대,여성,2020-01-07,광주시 광산구,28.3㎍/㎥,43.1㎍/㎥,0.0154ppm,0.027ppm,0.86ppm,0.0032ppm,2.5°C,57%
1228,50대,여성,2021-08-13,대구시 수성구,12.7㎍/㎥,20.7㎍/㎥,0.0335ppm,0.0051ppm,0.34ppm,0.0037ppm,26.7°C,73%
1229,30대,여성,2019-03-02,부산시 수영구,44.7㎍/㎥,68.2㎍/㎥,0.0323ppm,0.0446ppm,0.57ppm,0.0045ppm,5.8°C,47%
1229,30대,여성,2019-06-01,인천시 부평구,20.2㎍/㎥,28.5㎍/㎥,0.0398ppm,0.027ppm,0.42ppm,0.0035ppm,22.2°C,58%
1231,70대,여성,2020-06-01,서울시 강북구,19.8㎍/㎥,36.8㎍/㎥,0.0414ppm,0.0122ppm,0.36ppm,0.0027ppm,25.3°C,68%
1231,70대,여성,2022-01-10,부산시 서구,29.1㎍/㎥,43㎍/㎥,0.0137ppm,0.0513ppm,0.64ppm,0.0047ppm,-2.2°C,53%
1233,30대,여성,2020-02-17,서울시 관악구,26㎍/㎥,42.9㎍/㎥,0.0181ppm,0.0308ppm,0.55ppm,0.0036ppm,3.2°C,55%
1233,30대,여성,2022-12-09,대구시 남구,18.4㎍/㎥,36.4㎍/㎥,0.0115ppm,0.0304ppm,0.5ppm,0.0024ppm,-4.3°C,56%
1234,40대,여성,2019-12-07,부산시 사상구,28.9㎍/㎥,41㎍/㎥,0.0122ppm,0.0451ppm,0.68ppm,0.0034ppm,2.5°C,57%
1234,40대,여성,2023-02-25,인천시 부평구,24.3㎍/㎥,38.6㎍/㎥,0.0218ppm,0.0331ppm,0.66ppm,0.002ppm,1.4°C,61%
1236,70대,남성,2021-02-05,서울시 은평구,27.7㎍/㎥,48.6㎍/㎥,0.021ppm,0.027ppm,0.48ppm,0.0024ppm,1.9°C,59%
1237,70대,남성,2022-09-05,서울시 노원구,11.4㎍/㎥,22.5㎍/㎥,0.0289ppm,0.0013ppm,0.4ppm,0.0026ppm,20.5°C,68%
1240,10대,여성,2019-12-05,인천시 부평구,27.9㎍/㎥,40㎍/㎥,0.0149ppm,0.0415ppm,0.55ppm,0.0042ppm,2.1°C,55%
1240,10대,여성,2020-06-15,서울시 양천구,20.4㎍/㎥,34.7㎍/㎥,0.0434ppm,0.021ppm,0.2ppm,0.0035ppm,24°C,72%
1240,10대,여성,2020-12-08,서울시 동대문구,26.3㎍/㎥,41.9㎍/㎥,0.0165ppm,0.0274ppm,0.54ppm,0.0021ppm,-0.5°C,59%
1240,10대,여성,2022-11-01,부산시 중구,24.1㎍/㎥,39.2㎍/㎥,0.0167ppm,0.0275ppm,0.51ppm,0.0038ppm,11.7°C,65%
1241,20대,남성,2020-05-17,서울시 마포구,19.2㎍/㎥,36㎍/㎥,0.0337ppm,0.0171ppm,0.34ppm,0.002ppm,19.7°C,68%
1242,60대,여성,2018-11-14,인천시 옹진군,26.6㎍/㎥,53㎍/㎥,0.0034ppm,0.0358ppm,0.67ppm,0.0053ppm,7.5°C,57%
1243,40대,남성,2019-11-18,서울시 용산구,20.7㎍/㎥,40.6㎍/㎥,0.0118ppm,0.0471ppm,0.45ppm,0.0033ppm,7.5°C,54%
1244,10대,남성,2022-04-05,부산시 부산진구,21.9㎍/㎥,44.5㎍/㎥,0.0443ppm,0.0324ppm,0.33ppm,0.0031ppm,13.2°C,61%
1245,60대,남성,2019-01-01,서울시 금천구,38.2㎍/㎥,66.1㎍/㎥,0.0134ppm,0.0332ppm,0.79ppm,0.0036ppm,-0.4°C,42%
1245,60대,남성,2019-01-20,인천시 옹진군,38.6㎍/㎥,65㎍/㎥,0.0088ppm,0.0336ppm,0.76ppm,0.0039ppm,-0.6°C,41%
1245,60대,남성,2021-02-13,대구시 동구,29㎍/㎥,46.6㎍/㎥,0.0248ppm,0.0296ppm,0.68ppm,0.0034ppm,3.4°C,55%
1247,30대,남성,2019-04-21,서울시 서대문구,22.3㎍/㎥,42.5㎍/㎥,0.0335ppm,0.036ppm,0.47ppm,0.0018ppm,12.7°C,50%
1247,30대,남성,2020-02-20,광주시 남구,27.8㎍/㎥,40.2㎍/㎥,0.0189ppm,0.0163ppm,0.5ppm,0.0031ppm,2.2°C,57%
1247,30대,남성,2022-02-09,인천시 미추홀구,26.2㎍/㎥,40.5㎍/㎥,0.0286ppm,0.0136ppm,0.59ppm,0.0023ppm,-0.5°C,57%
1248,50대,남성,2020-08-01,서울시 성북구,13.8㎍/㎥,23㎍/㎥,0.0181ppm,0.0324ppm,0.4ppm,0.0023ppm,25.5°C,83%
1249,70대,남성,2019-03-04,대구시 동구,46.4㎍/㎥,68.9㎍/㎥,0.029ppm,0.0309ppm,0.86ppm,0.0026ppm,7.2°C,56%
1250,50대,여성,2022-03-15,대구시 동구,19.2㎍/㎥,40.6㎍/㎥,0.0287ppm,0.0362ppm,0.45ppm,0.0029ppm,8.5°C,62%
1251,40대,여성,2022-05-13,인천시 부평구,16.2㎍/㎥,34.6㎍/㎥,0.0469ppm,0.0102ppm,0.41ppm,0.0028ppm,18.7°C,52%
1252,80대 이상,남성,2019-01-25,광주시 동구,37.5㎍/㎥,64.2㎍/㎥,0.0077ppm,0.0287ppm,0.74ppm,0.0074ppm,-1.3°C,48%
1252,80대 이상,남성,2023-02-13,인천시 계양구,26.8㎍/㎥,39.7㎍/㎥,0.0251ppm,0.0375ppm,0.45ppm,0.0026ppm,2.3°C,55%
1254,40대,여성,2021-08-18,울산시 중구,12.6㎍/㎥,20.4㎍/㎥,0.0329ppm,0.0234ppm,0.42ppm,0.0026ppm,24.4°C,75%
1255,10대,남성,2019-10-19,대구시 수성구,12.5㎍/㎥,32.6㎍/㎥,0.0174ppm,0.0142ppm,0.57ppm,0.0037ppm,15.7°C,61%
1255,10대,남성,2020-01-28,부산시 북구,28.8㎍/㎥,44.5㎍/㎥,0.0146ppm,0.0318ppm,0.67ppm,0.0035ppm,2.7°C,58%
1256,40대,여성,2019-06-20,대구시 대덕구,18.7㎍/㎥,29㎍/㎥,0.0384ppm,0.0072ppm,0.34ppm,0.0055ppm,24.4°C,60%
1256,40대,여성,2019-07-01,서울시 마포구,17.8㎍/㎥,25.6㎍/㎥,0.0325ppm,0.0216ppm,0.44ppm,0.0045ppm,25.5°C,77%
1257,50대,여성,2019-02-03,대구시 동구,36.2㎍/㎥,57.9㎍/㎥,0.0175ppm,0.0306ppm,0.7ppm,0.0038ppm,1.4°C,46%
1257,50대,여성,2020-12-07,부산시 연제구,27.1㎍/㎥,43.1㎍/㎥,0.0137ppm,0.047ppm,0.61ppm,0.0041ppm,0.1°C,59%
1258,70대,여성,2019-06-01,세종특별자치시,21.2㎍/㎥,29.1㎍/㎥,0.0398ppm,0.027ppm,0.44ppm,0.0023ppm,21.7°C,59%
1258,70대,여성,2019-12-24,서울시 은평구,27.3㎍/㎥,42.5㎍/㎥,0.013ppm,0.051ppm,0.63ppm,0.0007ppm,1.9°C,54%
1258,70대,여성,2020-05-19,서울시 구로구,19.3㎍/㎥,32.6㎍/㎥,0.0353ppm,0.0399ppm,0.43ppm,0.003ppm,16.5°C,69%
1259,70대,여성,2019-02-14,대구시 군위군,35.1㎍/㎥,57.8㎍/㎥,0.0166ppm,0.0413ppm,0.53ppm,0.0049ppm,0.9°C,49%
1259,70대,여성,2019-08-02,서울시 관악구,16.4㎍/㎥,25.2㎍/㎥,0.0267ppm,0.0215ppm,0.29ppm,0.0043ppm,26.8°C,64%
1259,70대,여성,2022-10-08,서울시 성동구,13.5㎍/㎥,23.5㎍/㎥,0.0223ppm,0.0052ppm,0.45ppm,0.0044ppm,14.3°C,71%
1259,70대,여성,2023-01-21,서울시 강북구,28㎍/㎥,42.6㎍/㎥,0.019ppm,0.0435ppm,0.48ppm,0.0038ppm,-1.9°C,66%
1260,50대,남성,2020-08-07,인천시 계양구,14.8㎍/㎥,24㎍/㎥,0.0154ppm,0.0306ppm,0.19ppm,0.0033ppm,26.7°C,87%
1260,50대,남성,2021-07-16,인천시 강화군,16.8㎍/㎥,23.4㎍/㎥,0.0344ppm,0.0172ppm,0.31ppm,0.0043ppm,29.6°C,64%
1261,60대,남성,2019-01-06,서울시 종로구,37.9㎍/㎥,66.1㎍/㎥,0.0094ppm,0.0421ppm,0.77ppm,0.006ppm,-2.6°C,47%
1261,60대,남성,2023-02-10,서울시 영등포구,25.2㎍/㎥,40.2㎍/㎥,0.0229ppm,0.0328ppm,0.64ppm,0.0042ppm,3°C,61%
1262,30대,여성,2019-06-27,서울시 동작구,20.5㎍/㎥,28㎍/㎥,0.042ppm,0.0065ppm,0.34ppm,0.0043ppm,22.7°C,63%
1262,30대,여성,2021-12-04,울산시 북구,22.4㎍/㎥,40.2㎍/㎥,0.0128ppm,0.0444ppm,0.58ppm,0.0029ppm,0.2°C,61%
1262,30대,여성,2022-08-01,부산시 중구,12.2㎍/㎥,18.6㎍/㎥,0.0268ppm,0.0032ppm,0.3ppm,0.0019ppm,26.7°C,81%
1265,20대,여성,2020-01-09,울산시 남구,28.8㎍/㎥,43.3㎍/㎥,0.0161ppm,0.0462ppm,1.08ppm,0.0042ppm,3.1°C,57%
1269,40대,남성,2020-06-19,인천시 미추홀구,20.2㎍/㎥,35.5㎍/㎥,0.0362ppm,0.013ppm,0.34ppm,0.0014ppm,23°C,71%
1269,40대,남성,2022-04-07,부산시 중구,21.7㎍/㎥,48.4㎍/㎥,0.044ppm,0.0244ppm,0.38ppm,0.0052ppm,14.1°C,52%
1270,50대,여성,2019-07-03,서울시 성동구,18.8㎍/㎥,26.4㎍/㎥,0.0405ppm,0.0253ppm,0.31ppm,0.0045ppm,26°C,68%
1271,80대 이상,여성,2022-10-22,인천시 옹진군,13.9㎍/㎥,26.5㎍/㎥,0.027ppm,0.019ppm,0.46ppm,0.0011ppm,14.1°C,74%
1272,30대,여성,2021-07-01,대구시 동구,14.4㎍/㎥,25.3㎍/㎥,0.0386ppm,0.0278ppm,0.27ppm,0.0035ppm,29.9°C,68%
1273,40대,여성,2019-07-25,서울시 광진구,19.8㎍/㎥,25㎍/㎥,0.0304ppm,0.0149ppm,0.45ppm,0.0047ppm,27.5°C,71%
1275,30대,남성,2020-04-13,대구시 달서구,20.9㎍/㎥,44.8㎍/㎥,0.0344ppm,0.018ppm,0.34ppm,0.0048ppm,10.8°C,52%
1275,30대,남성,2020-04-14,서울시 관악구,21.1㎍/㎥,43.7㎍/㎥,0.0366ppm,0.0167ppm,0.3ppm,0.0037ppm,9.6°C,49%
1277,50대,여성,2021-03-17,서울시 성동구,31.9㎍/㎥,69.3㎍/㎥,0.0243ppm,0.0369ppm,0.57ppm,0.0039ppm,8.6°C,67%
1277,50대,여성,2021-12-31,광주시 남구,23.2㎍/㎥,39.6㎍/㎥,0.0158ppm,0.0295ppm,0.65ppm,0.0047ppm,1.3°C,66%
1277,50대,여성,2022-07-05,서울시 은평구,15.9㎍/㎥,26.6㎍/㎥,0.0401ppm,0.0164ppm,0.35ppm,0.0033ppm,29.3°C,77%
1277,50대,여성,2022-07-08,울산시 울주군,16.2㎍/㎥,24.7㎍/㎥,0.0362ppm,0.0037ppm,0.28ppm,0.0038ppm,26.4°C,76%
1281,60대,남성,2019-09-22,서울시 강북구,11.4㎍/㎥,22.7㎍/㎥,0.0255ppm,0.014ppm,0.29ppm,0.0026ppm,22.6°C,64%
1281,60대,남성,2023-02-08,대구시 달성군,26.3㎍/㎥,41.3㎍/㎥,0.0233ppm,0.0193ppm,0.6ppm,0.0049ppm,2.6°C,61%
1282,40대,여성,2020-08-05,울산시 남구,15.7㎍/㎥,23.8㎍/㎥,0.0153ppm,0.0185ppm,0.33ppm,0.0048ppm,25.9°C,89%
1284,70대,남성,2019-09-11,서울시 중구,11.2㎍/㎥,20.2㎍/㎥,0.028ppm,0.0146ppm,0.58ppm,0.0034ppm,22.9°C,60%
1284,70대,남성,2021-03-11,인천시 남동구,32.6㎍/㎥,65.6㎍/㎥,0.0198ppm,0.0355ppm,0.64ppm,0.0034ppm,8.1°C,66%
1286,50대,남성,2020-10-09,부산시 동구,16.6㎍/㎥,31.8㎍/㎥,0.0243ppm,0.0146ppm,0.35ppm,0.0025ppm,14.7°C,63%
1288,30대,남성,2022-01-26,부산시 북구,29.1㎍/㎥,43㎍/㎥,0.0115ppm,0.0343ppm,0.72ppm,0.0039ppm,-3.4°C,53%
1290,50대,여성,2020-08-06,서울시 종로구,14.4㎍/㎥,24.5㎍/㎥,0.018ppm,0.0177ppm,0.52ppm,0.0026ppm,25.4°C,86%
1291,60대,여성,2019-04-04,부산시 사하구,19.3㎍/㎥,40.5㎍/㎥,0.0291ppm,0.0213ppm,0.49ppm,0.0032ppm,11.6°C,50%
1291,60대,여성,2020-04-22,인천시 서구,22.4㎍/㎥,43.4㎍/㎥,0.0332ppm,0.0135ppm,0.5ppm,0.0014ppm,11.4°C,53%
1291,60대,여성,2021-06-26,세종특별자치시,18.9㎍/㎥,31.4㎍/㎥,0.0447ppm,0.0143ppm,0.41ppm,0.0042ppm,20.7°C,72%
1292,80대 이상,남성,2021-05-03,광주시 동구,17.9㎍/㎥,60.4㎍/㎥,0.0377ppm,0.0366ppm,0.29ppm,0.0022ppm,17.4°C,65%
1293,30대,남성,2019-05-04,부산시 북구,30.6㎍/㎥,53.1㎍/㎥,0.0446ppm,0.0438ppm,0.58ppm,0.0067ppm,20.1°C,47%
1294,60대,여성,2020-09-07,서울시 광진구,11.3㎍/㎥,18.7㎍/㎥,0.0214ppm,0.0016ppm,0.44ppm,0.0036ppm,24.3°C,68%
1295,40대,남성,2022-01-01,대구시 남구,27.7㎍/㎥,44.1㎍/㎥,0.0129ppm,0.0341ppm,0.62ppm,0.0045ppm,-2.2°C,56%
1296,30대,여성,2019-04-18,부산시 남구,21.3㎍/㎥,41.6㎍/㎥,0.0291ppm,0.0349ppm,0.35ppm,0.003ppm,11.4°C,49%
1296,30대,여성,2020-06-18,부산시 북구,21.6㎍/㎥,35.4㎍/㎥,0.0428ppm,0.0224ppm,0.52ppm,0.0021ppm,25.6°C,72%
1297,40대,여성,2020-05-08,서울시 성북구,21㎍/㎥,35.8㎍/㎥,0.0268ppm,0.0132ppm,0.34ppm,0.0033ppm,16.7°C,68%
1298,60대,여성,2019-07-21,인천시 서구,18.9㎍/㎥,23.2㎍/㎥,0.0338ppm,0.021ppm,0.18ppm,0.0037ppm,25.8°C,69%
1298,60대,여성,2021-08-15,서울시 도봉구,13.5㎍/㎥,21.1㎍/㎥,0.0324ppm,0.0006ppm,0.59ppm,0.0019ppm,25.1°C,75%
1301,10대,여성,2020-11-21,서울시 초구,24.2㎍/㎥,43.4㎍/㎥,0.0143ppm,0.0192ppm,0.67ppm,0.004ppm,7.8°C,66%
1302,50대,남성,2021-07-31,인천시 동구,14.7㎍/㎥,26.6㎍/㎥,0.0391ppm,0.0117ppm,0.34ppm,0.0039ppm,26.9°C,73%
1304,10대,남성,2020-07-14,서울시 동작구,12㎍/㎥,20.6㎍/㎥,0.0267ppm,0.0108ppm,0.4ppm,0.0027ppm,24.7°C,72%
1306,30대,여성,2022-06-27,대구시 동구,11.8㎍/㎥,22.1㎍/㎥,0.0316ppm,0.0156ppm,0.46ppm,0.0023ppm,23.5°C,76%
1307,50대,여성,2020-05-24,광주시 남구,21.5㎍/㎥,34.1㎍/㎥,0.0313ppm,0.0186ppm,0.35ppm,0.0035ppm,16.7°C,68%
1308,60대,남성,2022-01-02,대구시 서구,29.5㎍/㎥,43.5㎍/㎥,0.0101ppm,0.0546ppm,0.64ppm,0.0032ppm,-1°C,56%
1309,50대,남성,2021-08-06,서울시 금천구,11.4㎍/㎥,20.6㎍/㎥,0.0331ppm,0.0185ppm,0.32ppm,0.0005ppm,27.8°C,75%
1309,50대,남성,2022-06-01,부산시 수영구,11.2㎍/㎥,22.1㎍/㎥,0.0389ppm,0.0017ppm,0.32ppm,0.0025ppm,24.8°C,70%
1311,60대,남성,2020-06-29,대구시 북구,21.2㎍/㎥,35.9㎍/㎥,0.0398ppm,0.0279ppm,0.36ppm,0.0036ppm,22.2°C,65%
1311,60대,남성,2021-04-20,부산시 서구,20.4㎍/㎥,42.4㎍/㎥,0.0367ppm,0.014ppm,0.47ppm,0.0023ppm,14.7°C,53%
1315,50대,남성,2019-05-21,서울시 은평구,27.6㎍/㎥,52.8㎍/㎥,0.0412ppm,0.0278ppm,0.38ppm,0.0055ppm,19.9°C,48%
1315,50대,남성,2020-03-24,서울시 강남구,25.8㎍/㎥,45.7㎍/㎥,0.0249ppm,0.043ppm,0.64ppm,0.004ppm,9.2°C,46%
1315,50대,남성,2022-11-12,인천시 부평구,23.3㎍/㎥,38.4㎍/㎥,0.0191ppm,0.029ppm,0.51ppm,0.0016ppm,9.7°C,65%
1316,30대,여성,2019-04-04,부산시 연제구,22.4㎍/㎥,41.6㎍/㎥,0.0315ppm,0.0329ppm,0.32ppm,0.006ppm,11.2°C,52%
1319,40대,여성,2021-09-24,부산시 수영구,7.4㎍/㎥,14.9㎍/㎥,0.0307ppm,0.0092ppm,0.34ppm,0.0038ppm,22.8°C,67%
1321,50대,남성,2019-03-19,대구시 동구,45.8㎍/㎥,68.5㎍/㎥,0.0294ppm,0.0555ppm,0.54ppm,0.0053ppm,7.9°C,51%
1321,50대,남성,2019-03-29,부산시 부산진구,44㎍/㎥,69㎍/㎥,0.0261ppm,0.0372ppm,0.64ppm,0.006ppm,8.6°C,43%
1321,50대,남성,2019-12-16,서울시 초구,28.2㎍/㎥,40.5㎍/㎥,0.0089ppm,0.0381ppm,0.65ppm,0.0029ppm,0.7°C,55%
1321,50대,남성,2023-03-14,대구시 중구,22.6㎍/㎥,43.1㎍/㎥,0.026ppm,0.0311ppm,0.44ppm,0.004ppm,9.9°C,53%
1322,40대,남성,2022-02-04,울산시 남구,26.5㎍/㎥,39.1㎍/㎥,0.0299ppm,0.0148ppm,0.53ppm,0.002ppm,-0.7°C,49%
1323,20대,여성,2020-03-13,인천시 부평구,24.9㎍/㎥,45.2㎍/㎥,0.0259ppm,0.0184ppm,0.63ppm,0.0032ppm,7.5°C,53%
1323,20대,여성,2020-04-09,서울시 마포구,21.1㎍/㎥,44.7㎍/㎥,0.0382ppm,0.0113ppm,0.11ppm,0.0004ppm,12.7°C,49%
1325,60대,남성,2020-07-29,서울시 초구,14.4㎍/㎥,20.2㎍/㎥,0.0347ppm,0.0106ppm,0.4ppm,0.0035ppm,22.9°C,77%
1327,50대,남성,2019-02-23,서울시 은평구,35.9㎍/㎥,57.4㎍/㎥,0.0165ppm,0.0393ppm,0.7ppm,0.0049ppm,0.8°C,52%
1328,70대,남성,2022-09-27,서울시 마포구,10.9㎍/㎥,20.6㎍/㎥,0.03ppm,0.0355ppm,0.45ppm,0.0019ppm,23.2°C,67%
1329,40대,여성,2021-08-09,서울시 마포구,13.4㎍/㎥,20.7㎍/㎥,0.0347ppm,0.0029ppm,0.33ppm,0.0031ppm,26.7°C,74%
1329,40대,여성,2022-08-09,대구시 중구,13.6㎍/㎥,19.4㎍/㎥,0.0314ppm,0.0115ppm,0.36ppm,0.0031ppm,24.9°C,77%
1330,60대,여성,2018-11-15,인천시 동구,27.8㎍/㎥,50.7㎍/㎥,0.0144ppm,0.0326ppm,0.73ppm,0.004ppm,8.9°C,56%
1330,60대,여성,2022-10-23,서울시 강동구,14.7㎍/㎥,22.9㎍/㎥,0.0224ppm,0.0576ppm,0.43ppm,0.0004ppm,14°C,62%
1331,60대,여성,2020-10-22,인천시 중구,18.2㎍/㎥,32.2㎍/㎥,0.0245ppm,0.0118ppm,0.66ppm,0.0025ppm,13.1°C,62%
1332,60대,여성,2021-04-10,대구시 동구,20.9㎍/㎥,43.8㎍/㎥,0.0389ppm,0.0237ppm,0.42ppm,0.003ppm,13.9°C,47%
1333,30대,여성,2020-08-16,인천시 남동구,15㎍/㎥,21.2㎍/㎥,0.0189ppm,0.0185ppm,0.32ppm,0.0029ppm,26.9°C,88%
1334,60대,남성,2019-10-08,대구시 북구,14.1㎍/㎥,32.9㎍/㎥,0.0201ppm,0.0369ppm,0.56ppm,0.0024ppm,17.1°C,62%
1334,60대,남성,2020-02-03,서울시 동대문구,27.9㎍/㎥,40.6㎍/㎥,0.0175ppm,0.0416ppm,0.59ppm,0.0031ppm,3°C,58%
1334,60대,남성,2021-06-23,서울시 강북구,18.7㎍/㎥,32.5㎍/㎥,0.0407ppm,0.0308ppm,0.36ppm,0.0033ppm,21.9°C,78%
1334,60대,남성,2021-08-21,서울시 강북구,14.5㎍/㎥,22.5㎍/㎥,0.0383ppm,0.0253ppm,0.33ppm,0.0033ppm,26.7°C,71%
1334,60대,남성,2022-02-16,울산시 동구,25.2㎍/㎥,40.7㎍/㎥,0.0289ppm,0.0304ppm,0.56ppm,0.0025ppm,-1.9°C,55%
1335,30대,여성,2019-06-29,대구시 남구,18.5㎍/㎥,29.9㎍/㎥,0.0386ppm,0.0419ppm,0.39ppm,0.0032ppm,21.7°C,64%
1336,40대,남성,2019-01-31,인천시 미추홀구,39.9㎍/㎥,64.1㎍/㎥,0.0146ppm,0.0368ppm,0.8ppm,0.0062ppm,-1.6°C,43%
1336,40대,남성,2021-06-18,서울시 용산구,19㎍/㎥,32.2㎍/㎥,0.0442ppm,0.0165ppm,0.34ppm,0.0037ppm,22.9°C,69%
1338,30대,남성,2019-06-26,대구시 중구,20.6㎍/㎥,29.2㎍/㎥,0.0414ppm,0.0232ppm,0.41ppm,0.0032ppm,23.6°C,63%
1339,10대,남성,2019-05-29,울산시 중구,27.2㎍/㎥,53.3㎍/㎥,0.0416ppm,0.0294ppm,0.33ppm,0.0053ppm,19.9°C,49%
1340,40대,남성,2020-08-07,서울시 강북구,16.4㎍/㎥,22.8㎍/㎥,0.0198ppm,0.0147ppm,0.12ppm,0.0034ppm,27.7°C,82%
1341,40대,여성,2022-03-16,광주시 남구,21.7㎍/㎥,42.8㎍/㎥,0.0298ppm,0.0196ppm,0.54ppm,0.0015ppm,7.9°C,66%
